customer_id,age,gender,location,income_level,education,account_age_days,total_orders,avg_order_value,last_order_days_ago,product_category_preference,email_open_rate,website_visits_per_month,mobile_app_user,loyalty_program_member,customer_service_interactions,cart_abandonment_rate,review_count,avg_rating_given,social_media_follower,conversion_rate,lifetime_value,churn_probability,response_to_marketing
CUST000023,38,Female,Rural,High,PhD,776,12,38.18,156,Electronics,,10,Yes,No,1.0,29.4,1.0,3.7,No,23.7,500.49,56.4,1
CUST000024,20,Male,Urban,Medium,Bachelor,1381,17,40.01,258,Electronics,21.6,24,No,No,2.0,59.3,3.0,3.6,No,0.0,724.25,76.5,0
CUST000025,31,Female,Suburban,High,PhD,207,3,105.01,52,Home,32.0,7,No,No,1.0,34.8,0.0,4.0,No,25.3,345.27,29.4,0
CUST000026,39,Female,Rural,Medium,Master,1105,17,38.03,110,Electronics,46.4,7,Yes,No,1.0,35.7,4.0,4.7,Yes,25.0,736.5,41.3,1
CUST000027,24,Female,Urban,Medium,High School,3284,19,44.41,57,Sports,38.6,21,No,Yes,,27.9,3.0,4.1,No,30.8,941.5,31.3,1
CUST000028,42,Female,Suburban,Medium,Master,1022,9,87.47,11,Electronics,39.1,8,No,Yes,0.0,43.5,3.0,4.5,No,24.6,879.57,26.3,0
CUST000029,30,Male,Urban,Medium,High School,225,1,67.09,156,Fashion,5.8,16,No,No,,68.4,1.0,4.2,No,0.0,68.26,63.5,0
CUST000030,34,Female,Urban,Medium,Bachelor,83,0,66.39,207,Books,53.0,12,No,No,0.0,37.1,0.0,4.4,Yes,24.5,0.0,55.7,0
CUST000031,30,Female,Urban,High,Bachelor,475,8,175.11,28,Home,13.0,12,Yes,No,0.0,58.3,2.0,4.2,No,9.8,1455.51,29.8,0
CUST000032,60,Male,Suburban,High,Bachelor,107,1,92.23,35,Fashion,19.6,4,No,No,0.0,50.3,0.0,4.3,No,0.7,97.65,31.4,0
CUST000033,37,Male,Urban,High,Master,412,5,100.25,89,Fashion,22.2,8,No,Yes,,59.5,0.0,4.4,Yes,40.5,534.63,58.2,1
CUST000034,25,Female,Urban,Medium,Master,230,8,111.36,3,Home,10.1,15,Yes,No,0.0,45.5,2.0,3.9,No,0.0,917.87,35.6,0
CUST000035,47,Male,Urban,Medium,Bachelor,487,6,10.0,82,Fashion,20.4,13,No,No,0.0,61.6,1.0,4.9,No,3.7,63.67,53.4,0
CUST000036,23,Female,Urban,High,High School,205,4,50.39,27,Electronics,22.2,15,No,No,0.0,47.3,0.0,3.2,No,0.0,214.98,29.3,0
CUST000037,40,Male,Rural,High,High School,1291,18,85.11,116,Home,46.8,5,Yes,No,3.0,22.5,3.0,3.1,No,22.2,1747.07,37.9,0
CUST000038,18,Male,Urban,Medium,Master,287,3,37.64,23,Fashion,30.2,24,Yes,No,1.0,47.9,0.0,4.8,Yes,3.7,123.15,39.1,1
CUST000039,22,Female,Rural,Low,Master,59,1,30.63,53,Books,36.9,9,Yes,No,0.0,33.2,0.0,4.6,Yes,8.8,34.02,34.2,1
CUST000040,40,Male,Suburban,High,PhD,719,10,98.39,132,Home,73.9,6,Yes,No,1.0,,3.0,4.2,No,36.2,1202.03,29.4,1
CUST000041,46,Female,Suburban,Medium,High School,1123,17,80.4,11,Home,,8,Yes,No,1.0,51.6,3.0,3.8,No,18.1,1478.33,55.9,1
CUST000042,40,Male,Urban,Medium,High School,383,5,83.36,142,Home,11.0,20,Yes,No,0.0,68.2,0.0,,No,3.3,430.55,67.6,0
CUST000043,36,Male,Urban,Medium,Bachelor,612,6,69.57,51,Home,38.3,21,Yes,No,0.0,43.2,0.0,4.4,No,22.8,465.38,21.3,0
CUST000044,34,Female,Suburban,Medium,Master,378,1,47.69,179,Home,34.1,11,Yes,No,0.0,28.7,1.0,4.7,Yes,22.3,52.57,77.5,0
CUST000045,20,Female,Urban,Medium,Bachelor,116,0,58.92,34,Sports,20.5,20,Yes,No,0.0,41.7,,3.7,No,0.0,0.0,41.0,0
CUST000046,29,Female,Suburban,Medium,Master,542,5,71.36,19,Electronics,42.8,13,Yes,No,2.0,32.7,2.0,4.4,No,12.9,402.61,44.5,0
CUST000047,32,Female,Urban,Low,High School,752,11,10.0,21,Home,51.2,19,No,No,0.0,22.2,2.0,4.6,No,31.8,126.9,19.7,1
CUST000048,50,Female,Rural,Very High,Bachelor,223,3,209.26,3,Books,42.1,10,No,No,0.0,26.6,0.0,4.8,No,21.9,707.07,8.0,1
CUST000049,42,Female,Urban,Medium,PhD,878,7,138.32,54,Electronics,26.3,9,No,No,1.0,53.7,2.0,4.3,Yes,7.5,1044.63,45.2,1
CUST000050,18,Male,Urban,Low,Bachelor,982,13,43.51,143,Electronics,,20,Yes,No,2.0,48.2,3.0,3.4,Yes,0.0,615.01,56.8,0
CUST000051,41,Female,Suburban,Medium,Master,1747,19,59.68,130,Fashion,19.2,6,Yes,No,0.0,40.7,3.0,4.8,No,14.1,1199.23,63.1,0
CUST000052,33,Male,Urban,High,Bachelor,119,2,191.76,30,Fashion,12.0,8,Yes,No,0.0,63.1,0.0,4.9,No,2.3,397.33,33.5,0
CUST000053,29,Male,Urban,Medium,Bachelor,109,1,74.66,116,Fashion,9.5,12,Yes,No,0.0,58.6,0.0,4.6,No,1.4,76.79,57.4,1
CUST000054,45,Male,Urban,Medium,Master,1498,21,47.73,34,Electronics,45.1,5,Yes,No,4.0,37.5,2.0,4.1,Yes,33.6,1137.95,22.7,1
CUST000055,50,Male,Urban,Medium,Bachelor,900,5,124.87,62,Home,16.2,9,No,Yes,0.0,41.8,1.0,4.6,No,8.7,654.69,53.8,0
CUST000056,49,Female,Urban,Medium,Master,107,2,62.62,27,Fashion,10.8,6,Yes,No,0.0,44.4,2.0,4.5,Yes,9.5,129.3,39.7,0
CUST000057,27,Male,Urban,Medium,Bachelor,395,5,10.0,22,Books,2.6,18,Yes,No,1.0,74.5,4.0,4.3,No,3.3,50.39,34.8,1
CUST000058,34,Male,Suburban,High,PhD,913,12,131.92,79,Home,38.0,6,No,No,0.0,30.2,1.0,4.8,No,13.4,1763.51,42.2,1
CUST000059,41,Male,Urban,High,Master,155,3,91.13,163,Electronics,4.7,10,Yes,No,0.0,73.3,0.0,3.4,No,16.2,277.24,66.6,1
CUST000060,49,Male,Suburban,Medium,High School,1862,16,75.85,31,Fashion,49.2,9,No,Yes,1.0,30.3,2.0,4.1,Yes,35.8,1392.73,15.8,0
CUST000061,32,Female,Suburban,Medium,High School,1251,9,90.65,234,Home,16.2,16,No,No,0.0,52.3,2.0,3.8,No,14.9,855.5,70.1,0
CUST000062,35,Male,Urban,High,PhD,584,8,176.47,40,Fashion,27.6,12,No,No,,50.8,3.0,4.4,No,31.3,1528.65,44.0,1
CUST000063,24,Male,Urban,High,Master,831,12,153.41,33,Electronics,13.4,20,No,No,0.0,38.6,1.0,4.5,No,28.8,1914.92,44.1,1
CUST000064,23,Male,Rural,High,High School,87,1,160.29,75,Books,48.5,17,Yes,No,0.0,30.2,0.0,4.5,Yes,21.5,183.61,26.4,0
CUST000065,47,Male,Suburban,High,Bachelor,215,2,103.76,243,Electronics,35.6,5,No,No,0.0,34.7,0.0,2.3,Yes,26.1,229.68,57.3,0
CUST000066,54,Female,Urban,High,High School,1214,20,83.42,165,Sports,26.9,9,Yes,No,1.0,45.2,5.0,3.8,No,0.0,1803.04,53.2,0
CUST000067,37,Male,Rural,High,Bachelor,391,6,76.44,27,Electronics,28.1,4,Yes,No,0.0,57.0,1.0,4.2,No,17.2,497.3,23.2,1
CUST000068,50,Male,Suburban,Very High,PhD,155,1,193.48,210,Fashion,34.7,7,No,No,0.0,33.1,0.0,4.6,No,21.4,213.62,67.6,1
CUST000069,42,Male,Urban,Medium,Bachelor,243,3,48.64,39,Books,31.9,10,Yes,No,0.0,51.6,0.0,4.7,No,30.2,159.88,45.6,1
CUST000070,30,Male,Rural,Medium,Bachelor,589,6,48.76,36,Home,47.2,10,No,Yes,0.0,35.3,1.0,4.3,Yes,19.5,333.99,22.9,0
CUST000071,42,Non-binary,Urban,High,Master,29,1,109.48,21,Books,14.7,13,Yes,No,0.0,65.2,0.0,4.7,Yes,0.0,114.31,36.3,1
CUST000072,56,Male,Rural,Very High,Master,133,2,252.15,47,Books,53.5,3,Yes,No,1.0,26.9,0.0,4.1,Yes,26.3,585.24,14.1,1
CUST000073,37,Female,Urban,High,PhD,150,0,174.51,2,Electronics,40.3,13,No,No,0.0,46.8,0.0,4.4,No,23.8,0.0,26.3,1
CUST000074,56,Female,Urban,High,Master,1820,29,214.94,14,Electronics,15.9,6,No,No,1.0,41.2,5.0,3.6,Yes,0.4,6530.59,38.6,1
CUST000075,18,Male,Suburban,Medium,High School,1093,8,87.24,59,Electronics,51.8,18,Yes,Yes,0.0,30.6,1.0,,Yes,9.0,806.38,40.1,1
CUST000076,47,Non-binary,Urban,High,PhD,180,3,100.74,11,Electronics,19.5,7,No,No,0.0,41.9,1.0,4.4,No,2.3,319.9,48.8,0
CUST000077,39,Female,Urban,Medium,Master,623,8,59.75,9,Electronics,,11,No,No,0.0,36.6,0.0,4.3,No,9.7,515.71,42.9,1
CUST000078,34,Female,Suburban,Medium,Bachelor,285,4,60.44,27,Fashion,10.7,10,Yes,No,0.0,64.2,0.0,4.9,No,0.0,249.52,59.0,0
CUST000079,39,Male,Urban,Medium,Bachelor,35,0,67.08,31,Books,19.4,24,Yes,No,0.0,63.6,0.0,4.8,No,29.2,0.0,41.5,0
CUST000080,18,Female,Rural,Medium,PhD,83,0,76.75,100,Fashion,30.4,8,Yes,No,0.0,48.1,0.0,4.6,No,26.8,0.0,52.2,0
CUST000081,35,Male,Urban,Medium,High School,3,0,72.76,67,Fashion,37.0,7,Yes,No,0.0,25.5,0.0,4.3,No,9.9,0.0,34.0,0
CUST000082,42,Male,Rural,Medium,High School,2948,41,16.13,135,Electronics,79.1,8,No,No,6.0,13.4,,4.4,No,41.1,818.26,28.3,0
CUST000083,55,Female,Urban,High,Bachelor,865,12,40.28,41,Home,29.2,7,No,No,0.0,53.0,1.0,4.8,No,16.0,525.7,43.0,1
CUST000084,31,Female,Suburban,Medium,Master,87,0,95.16,40,Electronics,28.5,16,Yes,No,0.0,39.7,0.0,3.9,No,17.0,0.0,39.4,1
CUST000085,28,Male,Urban,Medium,Bachelor,777,5,104.27,59,Sports,22.0,18,Yes,No,1.0,45.2,1.0,3.9,Yes,24.4,555.76,41.6,0
CUST000086,31,Female,Suburban,Medium,Bachelor,581,2,40.79,49,Home,57.6,12,No,No,0.0,23.5,0.0,,No,10.5,95.68,17.5,1
CUST000087,48,Female,Urban,High,Bachelor,177,2,21.58,3,Fashion,30.2,8,No,No,0.0,48.1,,4.9,No,0.0,47.07,40.8,0
CUST000088,41,Male,Urban,Medium,High School,476,5,57.17,54,Fashion,20.4,19,No,No,0.0,38.6,0.0,4.0,No,20.9,303.34,26.2,1
CUST000089,31,Male,Urban,Low,Bachelor,579,2,21.09,220,Electronics,38.9,14,No,No,0.0,43.1,0.0,4.7,No,28.5,47.1,46.5,0
CUST000090,44,Male,Urban,Medium,Bachelor,327,2,49.75,16,Home,26.6,3,No,No,0.0,31.8,1.0,4.7,No,11.6,107.44,10.0,0
CUST000091,39,Female,Urban,High,Bachelor,2179,32,94.8,365,Sports,30.5,14,No,Yes,2.0,43.2,8.0,4.5,No,13.6,3311.17,84.7,0
CUST000092,49,Female,Suburban,High,High School,76,1,130.8,53,Fashion,45.7,8,No,No,0.0,37.8,0.0,2.5,No,10.7,148.73,32.3,0
CUST000093,29,Male,Urban,Medium,Bachelor,80,1,57.42,1,Fashion,24.2,12,Yes,No,0.0,40.7,0.0,4.1,No,7.4,61.59,27.6,0
CUST000094,34,Female,Urban,High,Master,1243,15,73.06,61,Books,12.3,7,Yes,No,0.0,35.8,3.0,3.7,Yes,19.0,1136.34,40.7,0
CUST000095,33,Female,Rural,Low,Master,181,1,10.0,0,Home,40.5,8,Yes,No,0.0,35.8,1.0,4.5,No,0.0,11.22,62.2,0
CUST000096,20,Female,Suburban,Low,High School,72,0,27.3,32,Sports,41.0,16,No,No,0.0,45.7,0.0,3.5,No,0.0,0.0,22.2,0
CUST000097,41,Male,Rural,Medium,PhD,343,2,51.61,245,Fashion,24.7,9,Yes,No,0.0,57.8,1.0,4.3,Yes,2.0,110.87,77.6,0
CUST000098,41,Female,Rural,Medium,Bachelor,129,1,17.21,57,Fashion,57.5,9,Yes,No,0.0,32.4,1.0,2.9,Yes,41.0,20.18,27.6,1
CUST000099,38,Female,Urban,Medium,Master,474,6,68.98,62,Electronics,68.2,13,Yes,No,0.0,14.7,,4.3,No,24.8,498.56,29.2,1
CUST000100,35,Male,Rural,High,PhD,858,10,97.27,18,Electronics,28.0,7,No,No,0.0,41.8,1.0,4.6,Yes,21.1,1054.41,43.1,0
CUST000101,21,Male,Urban,Medium,PhD,741,6,47.02,12,Electronics,,18,Yes,No,0.0,41.5,0.0,4.7,Yes,6.3,297.52,15.7,1
CUST000102,32,Female,Rural,Medium,Bachelor,224,2,48.85,87,Books,22.8,9,Yes,No,0.0,44.6,0.0,3.9,No,9.8,104.38,44.4,0
CUST000103,33,Male,Suburban,Medium,Bachelor,739,10,27.28,1,Books,50.7,5,Yes,No,0.0,38.4,,4.2,Yes,25.5,314.29,19.9,0
CUST000104,28,Female,Suburban,Medium,Bachelor,1977,27,66.47,81,Books,77.2,14,Yes,No,1.0,10.4,4.0,4.1,Yes,17.2,2210.34,32.6,1
CUST000105,36,Male,Suburban,High,Master,4,0,162.81,26,Fashion,5.7,16,Yes,No,0.0,46.8,,4.4,No,0.0,0.0,35.3,1
CUST000106,42,Male,Rural,Very High,Master,738,18,213.21,235,Electronics,37.1,10,Yes,Yes,1.0,32.2,1.0,4.1,Yes,49.6,4264.92,66.9,1
CUST000107,60,Male,Suburban,Very High,Master,601,7,176.93,37,Home,42.2,4,No,No,1.0,32.7,1.0,3.9,No,4.8,1395.31,13.6,1
CUST000108,40,Male,Urban,Medium,High School,347,3,52.22,16,Home,39.6,15,Yes,No,0.0,31.2,0.0,4.4,Yes,9.2,175.27,17.7,0
CUST000109,41,Male,Urban,High,Master,164,2,61.06,11,Books,22.8,9,No,No,0.0,51.0,1.0,4.6,No,33.8,130.47,40.9,1
CUST000110,37,Female,Suburban,Medium,High School,88,0,75.87,128,Electronics,18.8,15,Yes,No,0.0,39.4,0.0,4.2,No,4.5,0.0,41.4,0
CUST000111,18,Male,Urban,Medium,Master,1268,15,33.98,38,Fashion,24.7,17,Yes,No,1.0,39.4,2.0,3.4,No,2.5,547.47,38.9,1
CUST000112,37,Female,Suburban,Medium,PhD,20,0,63.2,78,Books,46.7,13,No,No,,,0.0,4.1,Yes,29.4,0.0,58.9,0
CUST000113,38,Female,Suburban,Medium,Master,428,7,14.35,119,Books,30.7,8,No,No,0.0,39.3,0.0,3.4,No,27.6,109.7,45.4,1
CUST000114,67,Male,Urban,Very High,Master,213,3,184.49,64,Books,38.5,3,Yes,No,0.0,28.5,0.0,4.3,Yes,17.1,617.4,37.2,1
CUST000115,35,Male,Suburban,High,High School,103,2,66.54,4,Fashion,7.1,9,Yes,Yes,0.0,52.5,0.0,4.3,No,3.2,135.91,44.7,0
CUST000116,41,Female,Suburban,High,Bachelor,305,6,90.55,90,Home,,11,Yes,No,0.0,44.6,0.0,4.0,No,22.3,594.64,36.2,0
CUST000117,37,Male,Rural,Medium,Bachelor,253,3,45.86,32,Books,24.1,7,Yes,No,0.0,44.5,0.0,4.4,No,3.9,147.53,27.1,1
CUST000118,23,Male,Urban,Low,Master,336,2,32.54,59,Electronics,16.0,17,Yes,No,0.0,40.2,0.0,3.8,No,0.0,68.2,40.6,0
CUST000119,51,Female,Rural,Very High,Bachelor,536,7,256.96,16,Books,38.8,6,No,No,0.0,34.5,2.0,4.3,Yes,8.1,2008.09,8.4,0
CUST000120,47,Male,Rural,Medium,Master,529,4,22.16,2,Fashion,33.4,4,Yes,No,0.0,52.6,1.0,3.8,Yes,9.9,97.52,39.7,1
CUST000121,47,Male,Suburban,High,High School,106,2,37.31,56,Fashion,13.3,9,No,No,,36.1,0.0,3.7,No,0.9,77.6,57.2,0
CUST000122,27,Female,Rural,Medium,Master,108,0,11.84,35,Electronics,27.7,7,Yes,No,0.0,50.8,0.0,4.3,No,3.4,0.0,50.1,0
CUST000123,54,Female,Suburban,Medium,Master,319,3,81.98,47,Fashion,5.1,9,No,No,1.0,42.0,0.0,4.9,Yes,0.0,249.7,31.8,0
CUST000124,21,Male,Urban,Medium,Bachelor,44,0,44.91,168,Fashion,32.2,14,Yes,No,0.0,51.5,0.0,2.8,No,1.6,0.0,69.1,1
CUST000125,45,Female,Suburban,Medium,Master,1320,17,70.24,34,Home,26.0,5,Yes,No,1.0,55.6,2.0,4.6,No,11.6,1287.22,29.5,0
CUST000126,64,Female,Suburban,High,Master,92,2,170.89,62,Home,51.6,5,No,No,0.0,27.4,0.0,4.1,No,9.9,394.69,37.4,1
CUST000127,26,Female,Rural,Medium,Bachelor,147,1,52.19,64,Fashion,30.5,8,No,No,0.0,34.6,0.0,,No,0.4,56.97,37.7,1
CUST000128,31,Male,Suburban,Medium,Master,622,2,38.85,49,Books,30.0,13,No,No,0.0,36.9,0.0,4.4,No,40.0,84.69,38.4,1
CUST000129,39,Female,Suburban,Medium,Bachelor,1822,14,53.14,40,Home,36.5,6,No,Yes,0.0,50.5,3.0,4.7,No,30.7,825.42,23.6,0
CUST000130,31,Male,Suburban,Medium,Bachelor,88,1,77.25,26,Home,40.5,11,No,No,0.0,26.3,1.0,4.9,No,13.2,86.64,43.8,0
CUST000131,19,Female,Urban,Medium,Bachelor,294,1,46.62,85,Electronics,0.4,20,Yes,No,0.0,75.9,0.0,3.6,Yes,4.2,46.68,57.7,0
CUST000132,38,Male,Urban,High,High School,238,3,81.53,50,Home,21.3,16,Yes,No,0.0,42.5,1.0,4.4,No,7.3,260.22,32.6,1
CUST000133,25,Female,Suburban,Medium,Bachelor,367,6,23.03,70,Electronics,37.2,18,Yes,No,1.0,33.6,1.0,4.2,Yes,4.6,153.6,46.6,0
CUST000134,43,Male,Urban,High,Bachelor,414,7,141.82,6,Home,28.6,10,Yes,No,0.0,,0.0,4.9,No,39.1,1077.92,33.9,1
CUST000135,26,Male,Urban,Medium,Bachelor,491,2,33.33,5,Fashion,36.3,19,No,No,0.0,36.1,0.0,4.1,No,11.9,73.92,41.7,0
CUST000136,56,Female,Suburban,High,Master,36,1,69.29,53,Home,54.2,4,No,No,0.0,20.4,0.0,4.0,No,26.9,80.56,29.3,0
CUST000137,28,Male,Suburban,Medium,Bachelor,1038,19,136.49,15,Home,22.0,14,Yes,No,,51.6,4.0,4.1,No,11.4,2764.47,29.6,1
CUST000138,34,Male,Suburban,High,PhD,21,0,138.76,51,Home,25.3,10,Yes,No,0.0,31.9,0.0,3.8,No,0.0,0.0,28.9,1
CUST000139,47,Female,Rural,High,Bachelor,640,10,141.86,0,Home,,3,Yes,No,0.0,38.3,2.0,4.0,No,9.0,1519.89,39.7,1
CUST000140,23,Female,Urban,Low,Bachelor,915,7,28.59,32,Fashion,5.9,17,No,No,1.0,55.5,0.0,3.8,No,0.0,203.67,55.7,0
CUST000141,40,Male,Urban,High,PhD,84,0,69.8,19,Home,,12,No,No,0.0,59.2,0.0,2.9,No,0.0,0.0,39.0,0
CUST000142,53,Male,Suburban,Medium,Bachelor,924,12,85.35,92,Books,5.4,2,No,No,1.0,60.2,3.0,3.3,No,8.3,1040.79,65.6,0
CUST000143,18,Female,Suburban,Medium,High School,118,1,109.01,130,Electronics,14.2,14,No,No,0.0,56.8,0.0,,Yes,0.0,113.65,63.7,0
CUST000144,40,Female,Suburban,High,PhD,153,4,94.59,53,Books,25.9,9,Yes,No,0.0,31.8,,4.3,No,21.2,407.76,59.3,1
CUST000145,41,Male,Urban,High,PhD,31,0,61.3,16,Home,53.1,10,Yes,No,0.0,18.9,0.0,4.5,No,28.1,0.0,11.8,1
CUST000146,47,Female,Suburban,Medium,High School,346,3,63.27,47,Electronics,48.2,4,No,No,0.0,35.3,0.0,3.9,Yes,24.8,217.26,16.4,1
CUST000147,23,Female,Suburban,High,PhD,1213,9,66.37,64,Fashion,21.7,14,Yes,No,0.0,51.3,1.0,4.2,Yes,6.4,636.22,54.6,0
CUST000148,22,Male,Urban,Medium,Bachelor,652,4,81.36,86,Books,31.9,17,Yes,No,0.0,53.7,0.0,4.7,No,9.0,356.58,34.2,0
CUST000149,44,Male,Urban,High,High School,612,11,136.38,28,Fashion,18.1,3,No,No,0.0,40.6,4.0,4.4,No,6.0,1581.64,28.4,1
CUST000150,41,Male,Suburban,High,Master,1197,23,86.4,32,Electronics,50.1,7,No,No,3.0,33.7,,4.3,No,24.0,2285.88,23.8,0
CUST000151,41,Female,Urban,Medium,Master,1266,15,63.48,24,Electronics,22.6,16,No,No,0.0,54.6,6.0,4.4,No,28.9,1016.76,29.8,0
CUST000152,42,Male,Urban,Medium,Bachelor,639,6,67.29,4,Electronics,34.5,12,Yes,No,0.0,26.4,0.0,,No,26.3,445.53,36.1,1
CUST000153,29,Male,Urban,Low,Bachelor,221,2,30.46,16,Electronics,33.9,6,Yes,No,0.0,37.6,0.0,4.6,No,0.0,67.12,16.4,1
CUST000154,40,Female,Urban,Medium,High School,1472,5,44.33,88,Fashion,30.6,8,No,No,1.0,39.6,1.0,4.5,No,21.4,242.0,38.2,0
CUST000155,41,Male,Urban,Medium,Master,302,5,33.68,29,Fashion,54.2,11,No,No,0.0,28.7,0.0,3.6,No,15.3,195.78,12.3,0
CUST000156,29,Female,Urban,Medium,High School,113,0,55.15,110,Sports,50.6,17,Yes,No,0.0,25.1,,4.1,Yes,15.5,0.0,31.0,0
CUST000157,60,Male,Urban,High,High School,711,11,119.85,2,Fashion,34.6,7,Yes,No,0.0,44.8,1.0,3.5,No,6.5,1455.19,30.1,0
CUST000158,43,Female,Suburban,Medium,PhD,63,1,71.11,134,Sports,18.8,9,Yes,No,0.0,55.2,0.0,4.7,No,10.6,75.12,59.3,1
CUST000159,23,Male,Urban,Low,Master,128,0,23.76,112,Electronics,9.8,12,No,No,0.0,54.2,0.0,3.6,No,0.0,0.0,69.5,0
CUST000160,45,Male,Suburban,Medium,Bachelor,1385,14,79.76,10,Electronics,23.8,9,Yes,No,0.0,36.1,4.0,4.5,No,13.4,1196.37,18.0,1
CUST000161,26,Female,Suburban,High,High School,307,3,78.99,46,Books,40.0,12,Yes,No,0.0,43.4,,4.1,No,29.9,265.41,17.7,0
CUST000162,47,Female,Urban,High,Master,505,6,101.3,84,Fashion,8.3,7,No,No,,39.3,0.0,4.5,No,0.0,622.93,48.6,1
CUST000163,51,Female,Urban,High,PhD,610,12,202.93,12,Fashion,59.0,6,Yes,No,1.0,17.1,2.0,4.7,No,32.6,2866.18,7.9,0
CUST000164,28,Female,Suburban,Medium,Bachelor,399,2,62.61,57,Home,18.3,8,Yes,No,0.0,33.3,0.0,4.5,No,0.0,132.09,40.4,1
CUST000165,49,Female,Urban,High,Bachelor,189,3,144.08,51,Electronics,14.5,14,Yes,No,0.0,66.4,0.0,4.4,Yes,21.5,451.04,63.5,1
CUST000166,42,Female,Suburban,Medium,PhD,1760,18,109.12,53,Sports,,7,Yes,No,2.0,42.6,3.0,4.4,No,27.6,2166.27,49.8,0
CUST000167,47,Female,Suburban,Medium,Master,857,12,81.53,99,Books,47.3,2,No,Yes,0.0,33.6,1.0,,No,31.1,1117.19,47.7,1
CUST000168,60,Female,Urban,High,Master,914,12,146.9,59,Fashion,54.7,6,Yes,No,1.0,19.5,3.0,4.3,Yes,9.2,2052.08,17.3,0
CUST000169,35,Female,Suburban,Medium,Master,1176,9,58.5,103,Fashion,51.2,7,Yes,No,0.0,,2.0,4.8,Yes,17.8,607.37,30.4,0
CUST000170,28,Female,Rural,Medium,High School,663,4,27.63,2,Fashion,48.4,4,Yes,No,0.0,39.5,1.0,4.6,No,31.8,126.57,9.9,0
